12/8/2024|16/8/2024|XTMXX|N|$6,443.32|34,008|$219,124,426.56
12/8/2024|16/8/2024|XTMXX|N|$6,449.22|37,229|$240,098,011.38
12/9/2022|16/9/2022|LAB|B|15.66|1000000.00|15660000.00
12/9/2022|16/9/2022|LAB|B|15.66|672004.00|10523582.64
12/9/2022|16/9/2022|LAB|B|15.70|800000.00|12560000.00
12/9/2022|16/9/2022|VESTA|*|39.00|700000.00|27300000.00
13/1/2020|17/1/2020|BACHOCO|B|80.00|300000.00|24000000.00
13/1/2020|17/1/2020|CUERVO|*|33.55|430000.00|14426500.00
13/1/2020|17/1/2020|FCFE|18|26.50|2800000.00|74200000.00
13/1/2020|17/1/2020|NAFTRAC|ISHRS|44.52|17800000.00|792456000.00
13/11/2023|17/11/2023|MBIL|N|10372.07|18232.00|189103580.24
13/11/2023|17/11/2023|MBIL|N|10379.99|33190.00|344511868.10
13/11/2023|17/11/2023|MBIL|N|10392.99|36841.00|382888144.59
13/11/2023|17/11/2023|TERRA|13|30.30|1000000.00|30300000.00
13/11/2023|17/11/2023|TERRA|13|30.30|456500.00|13831950.00
13/11/2023|17/11/2023|VMEX|19|41.54|2354357.00|97799989.78
13/2/2023|17/2/2023|ESGMEX|ISHRS|45.15|3198010.00|144390151.50
13/2/2023|17/2/2023|ESGMEX|ISHRS|45.21|3150000.00|142411500.00
13/3/2023|17/3/2023|ESGMEX|ISHRS|45.03|1997500.00|89947425.00
13/3/2023|17/3/2023|VMEX|19|41.18|283462.00|11672965.16
13/3/2023|17/3/2023|VMSTX|N|2321.75|181409.00|421186345.75
13/4/2020|15/4/2020|IB1MXX|N|592.67|337495.00|200023161.70
13/4/2020|15/4/2020|PE&OLES|*|170.25|328977.00|56008334.25
13/4/2020|15/4/2020|ZPR1|N|2452.89|47301.00|116024149.90
13/5/2024|17/5/2024|SOMA|21|44.93|60085646.00|2699648074.78
13/5/2024|17/5/2024|VESTA|*|59.75|2079570.00|124254307.50
13/5/2024|17/5/2024|VMSTX|N|2653.48|120238.00|319049128.24
13/5/2024|17/5/2024|VMSTX|N|2655.81|91872.00|243994576.32
13/5/2024|17/5/2024|XTMXX|N|6257.56|42922.00|268586990.32
13/6/2022|17/6/2022|FCFE|18|25.25|1500000.00|37875000.00
13/9/2021|17/9/2021|GCC|*|155.00|200000.00|31000000.00
14/10/2019|18/10/2019|MEXTRAC|9|35.86|1230000.00|44107800.00
14/10/2019|18/10/2019|MEXTRAC|9|35.87|820000.00|29413400.00
14/11/2022|18/11/2022|ALPEK|A|28.20|1900000.00|53580000.00
14/11/2022|18/11/2022|BBIL|N|1990.03|77546.00|154318866.38
14/11/2022|18/11/2022|FEMSA|UBD|156.07|700000.00|109249000.00
14/11/2022|18/11/2022|IB01|N|1996.41|77658.00|155037207.78
14/12/2020|18/12/2020|AC|*|96.75|3430000.00|331852500.00
14/12/2020|18/12/2020|ESGMEX|ISHRS|35.10|390170.00|13694967.00
14/12/2020|18/12/2020|GXC|*|2604.50|305000.00|794372500.00
14/12/2020|18/12/2020|HOTEL|*|4.00|21000000.00|84000000.00
14/12/2020|18/12/2020|HOTEL|*|4.00|26362669.00|105450676.00
14/12/2020|18/12/2020|HOTEL|*|4.00|6160845.00|24643380.00
14/12/2020|18/12/2020|PINFRA|L|106.27|229000.00|24335830.00
14/2/2022|18/2/2022|BBIL|N|2061.33|14486.00|29860426.38
14/2/2022|18/2/2022|ZPR1|N|2068.01|9625.00|19904596.25
14/6/2021|18/6/2021|AMX|L|16.00|10000000.00|160000000.00
14/6/2021|18/6/2021|GFINBUR|O|20.00|21400000.00|428000000.00
14/6/2021|18/6/2021|GFINBUR|O|20.15|2000000.00|40300000.00
14/6/2021|18/6/2021|GFINBUR|O|20.30|2537000.00|51501100.00
14/6/2021|18/6/2021|IB1MXX|N|624.64|160038.00|99966136.32
14/6/2021|18/6/2021|IWMO|N|1254.98|982698.00|1233266336.04
14/6/2021|18/6/2021|IWQU|N|1070.73|463134.00|495891467.82
14/6/2021|18/6/2021|IWSZ|N|902.65|1010809.00|912406743.85
14/6/2021|18/6/2021|IWVL|N|749.33|423894.00|317636491.02
14/6/2021|18/6/2021|MBIL|N|2116.90|154377.00|326800671.30
14/6/2021|18/6/2021|MBIL|N|2117.12|94462.00|199987389.44
14/6/2021|18/6/2021|MVOL|N|1155.40|406428.00|469586911.20
14/7/2020|17/7/2020|IBTA|N|121.35|305429.00|37063809.15
14/7/2020|17/7/2020|IBTMXX|N|599.29|70230.00|42088137.00
14/7/2020|17/7/2020|IHYA|N|125.82|342389.00|43079384.00
14/7/2020|17/7/2020|IHYMXX|N|575.69|83737.00|48206554.00
14/7/2020|17/7/2020|LQDA|N|144.34|346302.00|49985231.00
14/7/2020|17/7/2020|MBIL|N|2036.89|173668.00|353742612.52
14/7/2020|17/7/2020|SDMXX|N|608.84|81987.00|49916965.08
14/8/2023|18/8/2023|XTMXX|N|5765.99|64145.00|369859428.55
14/9/2020|18/9/2020|GRUMA|B|235.00|500000.00|117500000.00
14/9/2020|18/9/2020|GRUMA|B|235.00|684420.00|160838700.00
14/9/2020|18/9/2020|TLEVISA|CPO|28.40|1000000.00|28400000.00
14/9/2020|18/9/2020|ZPR1|N|2135.19|65568.00|140000137.92
15/1/2024|19/1/2024|BOLSA|A|33.50|907265.00|30393377.50
15/1/2024|19/1/2024|FEMSA|UBD|226.25|1152592.00|260773940.00
15/1/2024|19/1/2024|FMTY|14|12.00|835000.00|10020000.00
15/1/2024|19/1/2024|IB1MXX|N|7461.98|25070.00|187071838.60
