FHIPO|05/05/2026|01:02:46|MOVIMIENTOS INUSITADOS EN LA VARIACIÓN DEL PRECIO DE LOS CERTIFICADOS BURSÁTILES FIDUCIARIOS INMOBILIARIOS ("CBFIS") FHIPO 14|https://biva.mx/storage/information-send/EVENRELXBRL/BINVEX/Eventos_relevantes_Archivo_XBRL_98273_1777942966959.pdf
FHIPO|06/05/2026|01:23:38|MOVIMIENTOS INUSITADOS EN LA VARIACIÓN DEL VOLUMEN CONSOLIDADO DE OPERACIÓN DE LOS CERTIFICADOS BURSÁTILES FIDUCIARIOS INMOBILIARIOS ("CBFIS") FHIPO 14|https://biva.mx/storage/information-send/EVENRELXBRL/BINVEX/Eventos_relevantes_Archivo_XBRL_98384_1778030618800.pdf
FHIPO|12/05/2026|23:40:00|COMUNICADO SOBRE LA DISTRIBUCIÓN DEL FIDEICOMISO HIPOTECARIO (FHIPO)|https://biva.mx/storage/information-send/EVENRELXBRL/BINVEX/Eventos_relevantes_Archivo_XBRL_98913_1778629201704.pdf
FHIPO|23/04/2026|19:34:11|COMUNICADO SOBRE LA INVITACIÓN A LA LLAMADA DE RESULTADOS DEL PRIMER TRIMESTRE DE FHIPO|https://biva.mx/storage/information-send/EVENRELXBRL/BINVEX/Eventos_relevantes_Archivo_XBRL_97432_1776972852336.pdf
FHIPO|30/04/2026|01:35:48|COMUNICADO SOBRE LOS INTERESES DEVENGADOS DEL FIDEICOMISO HIPOTECARIO (FHIPO) DEL MES DE MARZO 2026|https://biva.mx/storage/information-send/EVENRELXBRL/BINVEX/Eventos_relevantes_Archivo_XBRL_97940_1777512949382.pdf
FHIPO|30/04/2026|02:40:35|COMUNICADO SOBRE LA INFORMACIÓN FINANCIERA DEL PRIMER TRIMESTRE DE 2026 DEL FIDEICOMISO HIPOTECARIO (FHIPO)|https://biva.mx/storage/information-send/EVENRELXBRL/BINVEX/Eventos_relevantes_Archivo_XBRL_97944_1777516840690.pdf
FHIPO|30/04/2026|02:40:38|INFORMATION RELATED TO THE EARNINGS DURING THE FIRST QUARTER OF 2026 OF THE PORTFOLIO FIDEICOMISO HIPOTECARIO (FHIPO)|https://biva.mx/storage/information-send/EVENRELXBRL/BINVEX/Eventos_relevantes_Archivo_XBRL_97945_1777516840720.pdf
FICAPEX|11/04/2026|01:07:45|SINOSURE otorga  a FINCAPITAL EXP SA DE CV líneas de Crédito que apertura alianzas comerciales|https://biva.mx/storage/information-send/EVENRELXBRL/FICAPEX/Eventos_relevantes_Archivo_XBRL_96953_1775869666368.pdf
FICAPEX|13/04/2026|15:26:51|HR Ratings ratificó las calificaciones de HR BBB+ para Fincapital Exp SA de CV  de Estable a Positiva|https://biva.mx/storage/information-send/EVENRELXBRL/FICAPEX/Eventos_relevantes_Archivo_XBRL_96955_1776094013070.pdf
FMX|15/05/2026|00:23:18|FIBRAEMX INFORMA DEL PREPAGO DE UN CONTRATO DE CRÉDITO|https://biva.mx/storage/information-send/EVENRELXBRL/BINVEX/Eventos_relevantes_Archivo_XBRL_99017_1778804598239.pdf
FMX|17/04/2026|00:01:09|FIBRAEMX ANUNCIA EL CIERRE EXITOSO DE LA ADQUISICIÓN DE CIBSA|https://biva.mx/storage/information-send/EVENRELXBRL/BINVEX/Eventos_relevantes_Archivo_XBRL_97125_1776384069571.pdf
FMX|30/04/2026|01:07:36|FIBRAEMX INFORMA EN RELACIÓN CON MOVIMIENTOS INUSITADOS EN LA OPERACIÓN DE SUS VALORES|https://biva.mx/storage/information-send/EVENRELXBRL/BINVEX/Eventos_relevantes_Archivo_XBRL_97925_1777511256264.pdf
FNCOT|06/05/2026|17:33:37|Designación de la Titular del Instituto FONACOT|https://biva.mx/storage/information-send/EVENRELXBRL/FNCOT/Eventos_relevantes_Archivo_XBRL_98410_1778088817741.pdf
FNCOT|09/04/2026|23:28:14|Modificaciones al Estatuto Orgánico|https://biva.mx/storage/information-send/EVENRELXBRL/FNCOT/Eventos_relevantes_Archivo_XBRL_96889_1775777294758.pdf
