DATE,BIVA VALUE,BIVA VOLUME,BIVA TRADES,BMV VALUE,BMV VOLUME,BMV TRADES,BIVA VALUE MARKET SHARE,BIVA VOLUME MARKET SHARE,BIVA TRADES MARKET SHARE,BMV VALUE MARKET SHARE,BMV VOLUME MARKET SHARE,BMV TRADES MARKET SHARE
23/10/2018,"150,417,181.88","2,057,105","2,279","16,675,813,271.56","234,167,040","462,361",0.89,0.87,0.49,99.11,99.13,99.51
24/10/2018,"154,894,350.91","1,791,460","2,897","14,169,577,304.31","276,498,465","537,215",1.08,0.64,0.54,98.92,99.36,99.46
25/10/2018,"578,622,683.22","6,189,340","5,795","12,606,298,766.46","257,135,931","434,762",4.39,2.35,1.32,95.61,97.65,98.68
26/10/2018,"359,017,032.69","1,131,433","2,834","14,105,080,166.14","291,188,441","440,085",2.48,0.39,0.64,97.52,99.61,99.36
29/10/2018,"570,388,785.22","6,158,762","6,327","23,617,035,570.31","469,089,674","592,569",2.36,1.30,1.06,97.64,98.70,98.94
30/10/2018,"378,241,206.03","3,428,378","6,883","24,109,275,640.83","436,785,152","752,734",1.54,0.78,0.91,98.46,99.22,99.09
31/10/2018,"923,069,184.39","7,363,083","9,734","27,054,787,670.48","539,482,083","748,375",3.30,1.35,1.28,96.70,98.65,98.72
01/11/2018,"431,355,536.88","6,410,493","5,752","23,151,241,071.32","408,905,622","566,265",1.83,1.54,1.01,98.17,98.46,98.99
05/11/2018,"308,457,380.31","3,842,348","6,655","23,451,970,179.81","418,455,202","657,144",1.30,0.91,1.00,98.70,99.09,99.00
06/11/2018,"4,491,792,779.89","9,121,559","5,304","17,327,212,513.12","315,748,694","572,518",20.59,2.81,0.92,79.41,97.19,99.08
07/11/2018,"2,355,435,040.66","6,189,028","4,417","23,156,962,096.68","315,821,770","564,069",9.23,1.92,0.78,90.77,98.08,99.22
08/11/2018,"2,074,299,522.30","12,825,986","9,231","23,286,737,433.94","416,321,410","613,419",8.18,2.99,1.48,91.82,97.01,98.52
