2025/09/08-2025/09/12|PUBLISHED|10/09/2025|NAFTRAC|ISHRS|60.69|5,000,000.00|303,450,000.00|
2025/09/08-2025/09/12|PUBLISHED|10/09/2025|VISTA|A|709.36|35,621.00|25,268,112.56|
2025/09/08-2025/09/12|PUBLISHED|11/09/2025|ANB|*|1094.77|250,000.00|273,692,500.00|
2025/09/08-2025/09/12|PUBLISHED|11/09/2025|VISTA|A|685.03|21,350.00|14,625,390.50|
2025/09/08-2025/09/12|PUBLISHED|11/09/2025|VISTA|A|685.11|35,501.00|24,322,090.11|
2025/09/08-2025/09/12|PUBLISHED|11/09/2025|VISTA|A|685.67|18,500.00|12,684,895.00|
2025/09/08-2025/09/12|PUBLISHED|11/09/2025|VISTA|A|685.87|45,087.00|30,923,820.69|
2025/09/08-2025/09/12|PUBLISHED|11/09/2025|VISTA|A|686.89|15,170.00|10,420,121.30|
2025/09/08-2025/09/12|PUBLISHED|11/09/2025|VISTA|A|687.46|23,432.00|16,108,562.72|
2025/09/08-2025/09/12|PUBLISHED|11/09/2025|VISTA|A|688.56|23,509.00|16,187,357.04|
2025/09/08-2025/09/12|PUBLISHED|11/09/2025|VISTA|A|689.63|16,234.00|11,195,453.42|
2025/09/15-2025/09/19|PUBLISHED|15/09/2025|IUAA|N|104.34|426,750.00|44,527,095.00|
2025/09/15-2025/09/19|PUBLISHED|19/09/2025|VISTA|A|616.32|20,000.00|12,326,400.00|
2025/09/15-2025/09/19|PUBLISHED|19/09/2025|VISTA|A|623.83|24,000.00|14,971,920.00|
2025/09/22-2025/09/26|HIDDEN|25/09/2025|FUNO|11|28.25|1,700,000.00|48,025,000.00|
2025/09/22-2025/09/26|HIDDEN|26/09/2025|FUNO|11|27.90|1,700,000.00|47,430,000.00|
2025/09/22-2025/09/26|PUBLISHED|22/09/2025|VISTA|A|672.97|42,100.00|28,332,037.00|
2025/09/22-2025/09/26|PUBLISHED|24/09/2025|VISTA|A|706.47|67,335.00|47,570,157.45|
2025/09/22-2025/09/26|PUBLISHED|26/09/2025|VOLAR|A|12.47|6,000,000.00|74,820,000.00|
2025/09/29-2025/10/03|HIDDEN|02/10/2025|VESTA|*|49.75|1,582,800.00|78,744,300.00|
2025/09/29-2025/10/03|HIDDEN|29/09/2025|FUNO|11|27.49|2,000,000.00|54,980,000.00|
2025/09/29-2025/10/03|HIDDEN|29/09/2025|FUNO|11|27.50|3,029,800.00|83,319,500.00|
2025/09/29-2025/10/03|PUBLISHED|01/10/2025|VMEX|19|50.80|600,000.00|30,480,000.00|
2025/09/29-2025/10/03|PUBLISHED|02/10/2025|MEXTRAC|9|58.86|2,586,356.00|152,232,914.16|
2025/09/29-2025/10/03|PUBLISHED|02/10/2025|VISTA|A|628.65|101,162.00|63,595,491.30|
2025/09/29-2025/10/03|PUBLISHED|29/09/2025|GAP|B|454.60|253,094.00|115,056,532.40|
2025/10/06-2025/10/10|PUBLISHED|06/10/2025|VISTA|A|645.86|39,300.00|25,382,298.00|
2025/10/06-2025/10/10|PUBLISHED|08/10/2025|VISTA|A|627.80|52,069.00|32,688,918.20|
2025/10/13-2025/10/17|PUBLISHED|13/10/2025|VISTA|A|700.58|28,400.00|19,896,472.00|
2025/10/20-2025/10/24|HIDDEN|24/10/2025|ALSEA|*|51.80|478,768.00|24,800,182.40|
2025/10/20-2025/10/24|PUBLISHED|23/10/2025|VISTA|A|716.00|147,722.00|105,768,952.00|
2025/10/27-2025/10/31|PUBLISHED|27/10/2025|VISTA|A|883.00|15,700.00|13,863,100.00|
2025/10/27-2025/10/31|PUBLISHED|28/10/2025|ACTINVR|B|19.50|600,000.00|11,700,000.00|
2025/10/27-2025/10/31|PUBLISHED|31/10/2025|FHIPO|14|13.50|16,000,000.00|216,000,000.00|
2025/10/27-2025/10/31|PUBLISHED|31/10/2025|IUHC|N|213.26|54,449.00|11,611,793.74|
2025/11/03-2025/11/07|PUBLISHED|04/11/2025|IEF|*|1802.92|20,500.00|36,959,860.00|
2025/11/03-2025/11/07|PUBLISHED|05/11/2025|ALFA|A|14.15|2,600,000.00|36,790,000.00|
2025/11/10-2025/11/14|HIDDEN|14/11/2025|IB1MXX|N|8949.25|335,214.00|2,999,913,889.50|
2025/11/10-2025/11/14|HIDDEN|14/11/2025|PR1MX|N|5854.62|512,821.00|3,002,372,083.02|
2025/11/10-2025/11/14|PUBLISHED|10/11/2025|TRAXION|A|13.90|840,318.00|11,680,420.20|
2025/11/10-2025/11/14|PUBLISHED|13/11/2025|MEDICA|B|55.00|2,000,000.00|110,000,000.00|
2025/11/10-2025/11/14|PUBLISHED|14/11/2025|MEDICA|B|55.00|2,000,000.00|110,000,000.00|
2025/11/10-2025/11/14|PUBLISHED|14/11/2025|MEDICA|B|55.50|2,000,000.00|111,000,000.00|
2025/11/17-2025/11/21|PUBLISHED|18/11/2025|IUFS|N|275.71|146,740.00|40,457,685.40|
2025/11/17-2025/11/21|PUBLISHED|18/11/2025|IUHC|N|222.22|189,100.00|42,021,802.00|
2025/11/24-2025/11/28|PUBLISHED|24/11/2025|AMX|B|20.80|32,968,200.00|685,738,560.00|
2025/11/24-2025/11/28|PUBLISHED|25/11/2025|AERO|*|34.06|604,000.00|20,572,240.00|
2025/11/24-2025/11/28|PUBLISHED|26/11/2025|VISTA|A|886.17|70,106.00|62,125,834.02|
2025/11/24-2025/11/28|PUBLISHED|28/11/2025|IUAA|N|104.86|168,300.00|17,647,938.00|
2025/12/01-2025/12/05|PUBLISHED|01/12/2025|AERO|*|35.08|660,000.00|23,152,800.00|
2025/12/01-2025/12/05|PUBLISHED|04/12/2025|VISTA|A|950.57|90,056.00|85,604,531.92|
2025/12/22-2025/12/26|PUBLISHED|22/12/2025|FUNO|11|26.38|1,955,305.00|51,580,945.90|
2025/12/29-2026/01/02|PUBLISHED|29/12/2025|XT0D|N|1119.08|79,903.00|89,417,849.24|
2025/12/29-2026/01/02|PUBLISHED|30/12/2025|MEXTRAC|9|61.61|397,808.00|24,508,950.88|
2026/01/05-2026/01/09|PUBLISHED|06/01/2026|FUNO|11|26.35|2,000,000.00|52,700,000.00|
2026/01/05-2026/01/09|PUBLISHED|07/01/2026|OMA|B|248.50|523,191.00|130,012,963.50|
2026/01/05-2026/01/09|PUBLISHED|07/01/2026|VESTA|*|55.75|1,500,000.00|83,625,000.00|
2026/01/05-2026/01/09|PUBLISHED|08/01/2026|MEXTRAC|9|61.86|2,150,000.00|132,999,000.00|
2026/01/05-2026/01/09|PUBLISHED|08/01/2026|NAFTRAC|ISHRS|64.71|1,708,511.00|110,557,746.81|
2026/01/05-2026/01/09|PUBLISHED|09/01/2026|LACOMER|UBC|38.30|3,000,000.00|114,900,000.00|
2026/01/12-2026/01/16|PUBLISHED|16/01/2026|ARA|*|3.70|6,311,100.00|23,351,070.00|
2026/01/19-2026/01/23|PUBLISHED|20/01/2026|ALPEK|A|8.92|2,000,000.00|17,840,000.00|
2026/01/19-2026/01/23|PUBLISHED|20/01/2026|FRES|*|948.45|15,500.00|14,700,975.00|
2026/01/19-2026/01/23|PUBLISHED|20/01/2026|GLD|*|7686.86|3,991.00|30,678,258.26|
2026/01/19-2026/01/23|PUBLISHED|20/01/2026|NAFTRAC|ISHRS|67.30|6,044,546.00|406,797,945.80|
2026/01/19-2026/01/23|PUBLISHED|20/01/2026|TLEVISA|CPO|11.00|2,000,000.00|22,000,000.00|
2026/01/19-2026/01/23|PUBLISHED|21/01/2026|AC|*|197.54|487,942.00|96,388,062.68|
2026/01/19-2026/01/23|PUBLISHED|21/01/2026|ALPEK|A|8.92|2,500,000.00|22,300,000.00|
2026/01/19-2026/01/23|PUBLISHED|21/01/2026|VISTA|A|897.37|27,134.00|24,349,237.58|
2026/01/19-2026/01/23|PUBLISHED|22/01/2026|ORBIA|*|18.00|2,000,000.00|36,000,000.00|
2026/01/19-2026/01/23|PUBLISHED|23/01/2026|NAFTRAC|ISHRS|67.42|6,605,155.00|445,319,550.10|
2026/01/26-2026/01/30|PUBLISHED|29/01/2026|IVVPESO|ISHRS|141.58|307,984.00|43,604,374.72|
2026/01/26-2026/01/30|PUBLISHED|30/01/2026|LIVEPOL|C-1|103.70|150,000.00|15,555,000.00|
2026/02/02-2026/02/06|PUBLISHED|04/02/2026|LAB|B|16.30|1,737,444.00|28,320,337.20|
